"","SQH","SXRQ"
"1","CN201130478625.6","20150204"
"2","CN201230374123.3","20150923"
"3","CN201230374061.6","20150923"
"4","CN201030246443.1","20140910"
"5","CN201030246462.4","20140910"
"6","CN201030246245.5","20140910"
"7","CN201430151432.3","20160720"
"8","CN201430151433.8","20160720"
"9","CN201230374063.5","20160928"
"10","CN201230374187.3","20160928"
"11","CN201230375130.5","20160928"
"12","CN201130166472.1","20140730"
"13","CN201130108962.6","20140625"
"14","CN201130139256.8","20150715"
"15","CN201130045949.0","20140507"
"16","CN201130045950.3","20140507"
"17","CN201230609475.2","20150121"
"18","CN201230610073.4","20150121"
"19","CN201230642141.5","20150204"
"20","CN201230623186.8","20150204"
"21","CN201230623274.8","20150204"
"22","CN201230623331.2","20150204"
"23","CN201230623262.5","20150204"
"24","CN201230623327.6","20150204"
"25","CN201230623345.4","20150204"
"26","CN201230609156.1","20150121"
"27","CN201230169096.6","20140702"
"28","CN201230455465.8","20141105"
"29","CN201230421358.3","20141022"
"30","CN201230421519.9","20141022"
"31","CN201230440347.X","20141029"
"32","CN201230440349.9","20141029"
"33","CN201230440343.1","20141029"
"34","CN201230454955.6","20141105"
"35","CN201330404633.5","20151021"
"36","CN201330077507.3","20150513"
"37","CN201230056349.9","20140507"
"38","CN201230056379.X","20140507"
"39","CN201230056405.9","20140507"
"40","CN201230056419.0","20140507"
"41","CN201230056335.7","20140507"
"42","CN201230056390.6","20140507"
"43","CN201230056402.5","20140507"
"44","CN201230169060.8","20140702"
"45","CN201230169074.X","20140702"
"46","CN201230169075.4","20140702"
"47","CN201230104028.1","20140604"
"48","CN201230104814.1","20140604"
"49","CN201230065762.1","20140507"
"50","CN201230064536.1","20140507"
"51","CN201230064465.5","20140507"
"52","CN201230064481.4","20140507"
"53","CN201230029882.6","20150401"
"54","CN201230029884.5","20150401"
"55","CN201030192627.4","20150715"
"56","CN201030590590.0","20141217"
"57","CN201030590603.4","20141217"
"58","CN201030280012.7","20141008"
"59","CN201030280015.0","20141008"
"60","CN201030554053.0","20141203"
"61","CN201030287282.0","20141022"
"62","CN201030590605.3","20141217"
"63","CN201320345609.3","20151028"
"64","CN201420102200.3","20160504"
"65","CN201420072650.2","20160504"
"66","CN201420072672.9","20160302"
"67","CN201120097914.6","20150520"
"68","CN201230412766.2","20151007"
"69","CN201430040740.9","20160427"
"70","CN201030260538.9","20130925"
"71","CN201030260551.4","20130925"
"72","CN201030260553.3","20130925"
"73","CN201030260555.2","20130925"
"74","CN201430099227.7","20160615"
"75","CN201330179066.8","20160629"
"76","CN201130162697.X","20160803"
"77","CN201130157636.4","20160727"
"78","CN201230306221.3","20160824"
"79","CN201230306211.X","20160824"
"80","CN201030260536.X","20160921"
"81","CN201030260577.9","20160921"
"82","CN201430358617.1","20161109"
"83","CN201430358956.X","20161109"
"84","CN201430358792.0","20161109"
"85","CN201430358793.5","20161109"
"86","CN201320434925.8","20150819"
"87","CN201320844610.0","20150819"
"88","CN201120263809.5","20141008"
"89","CN201120255493.5","20140910"
"90","CN201420007626.0","20151216"
"91","CN201320014205.6","20160302"
"92","CN201320017898.4","20160302"
"93","CN201320017900.8","20160302"
"94","CN201320017935.1","20160302"
"95","CN201320006565.1","20160302"
"96","CN201320015632.6","20160302"
"97","CN201020281791.7","20130918"
"98","CN201120215819.1","20160810"
"99","CN201320360130.7","20160810"
"100","CN201120224767.4","20160817"
"101","CN201320506691.3","20161012"
"102","CN201020559868.2","20161116"
"103","CN201020559910.0","20161116"
"104","CN201120215819.1","20160810"
"105","CN201320360130.7","20160810"
"106","CN201120224767.4","20160817"
"107","CN201320506691.3","20161012"
"108","CN201020559868.2","20161116"
"109","CN201020559910.0","20161116"
"110","CN201130305372.2","20151028"
"111","CN201130305373.7","20151028"
"112","CN201130305375.6","20151028"
"113","CN201130305376.0","20151028"
"114","CN201130305380.7","20151028"
"115","CN201130305381.1","20151028"
"116","CN201130305382.6","20151028"
"117","CN201130305383.0","20151028"
"118","CN201130305384.5","20151028"
"119","CN201130305386.4","20151028"
"120","CN201130445521.5","20160120"
"121","CN201130402082.X","20151223"
"122","CN201130402086.8","20151223"
"123","CN201130402087.2","20151223"
"124","CN201130402096.1","20151223"
"125","CN201130402102.3","20151223"
"126","CN201130402106.1","20151223"
"127","CN201130402110.8","20151223"
"128","CN201030290322.7","20141022"
"129","CN201030290370.6","20141022"
"130","CN201030290472.8","20141022"
"131","CN201030290482.1","20141022"
"132","CN201030290491.0","20141022"
"133","CN201030290513.3","20141022"
"134","CN201030290528.X","20141022"
"135","CN201030290624.4","20141022"
"136","CN201030290494.4","20141022"
"137","CN201030290561.2","20141022"
"138","CN201030290599.X","20141022"
"139","CN201030290323.1","20141022"
"140","CN201030290346.2","20141022"
"141","CN201030290366.X","20141022"
"142","CN201030290383.3","20141022"
"143","CN201030290406.0","20151021"
"144","CN201030290410.7","20151021"
"145","CN201030290424.9","20151021"
"146","CN201030290438.0","20141022"
"147","CN201030290452.0","20151021"
"148","CN201030290243.6","20141022"
"149","CN201030290244.0","20141022"
"150","CN201030290245.5","20141022"
"151","CN201030290468.1","20141022"
"152","CN201030290547.2","20141022"
"153","CN201030290621.0","20141022"
"154","CN201030290639.0","20141022"
"155","CN201130445524.9","20160120"
"156","CN201130445525.3","20160120"
"157","CN201130445536.1","20160120"
"158","CN201130445538.0","20160120"
"159","CN201130445551.6","20160120"
"160","CN201130445554.X","20160120"
"161","CN201130445532.3","20160120"
"162","CN201130445533.8","20160120"
"163","CN201130445542.7","20160120"
"164","CN201130445543.1","20160120"
"165","CN201130445544.6","20160120"
"166","CN201020171439.8","20160608"
"167","CN201020171503.2","20160615"
"168","CN201020171462.7","20160615"
"169","CN201020171456.1","20160615"
"170","CN201120233062.9","20160817"
"171","CN201120233076.0","20160817"
"172","CN201120233415.5","20160817"
"173","CN201120233438.6","20160817"
"174","CN201120237725.4","20160817"
"175","CN201120237747.0","20160817"
"176","CN201120233062.9","20160817"
"177","CN201120233076.0","20160817"
"178","CN201120233415.5","20160817"
"179","CN201120233438.6","20160817"
"180","CN201120237725.4","20160817"
"181","CN201120237747.0","20160817"
"182","CN201120032109.5","20130417"
"183","CN201010596817.1","20160210"
"184","CN201130394056.7","20131218"
"185","CN201130394057.1","20131218"
"186","CN201130394060.3","20131218"
"187","CN201130394062.2","20131218"
"188","CN201130394061.8","20131218"
"189","CN201130393904.2","20131218"
"190","CN201130391198.8","20141217"
"191","CN201130391199.2","20131218"
"192","CN201130391201.6","20131218"
"193","CN201130391202.0","20131218"
"194","CN201130391204.X","20131218"
"195","CN201130391206.9","20131218"
"196","CN201130391208.8","20131218"
"197","CN201130391209.2","20141217"
"198","CN201130391210.5","20141217"
"199","CN201130391212.4","20131218"
"200","CN201130391217.7","20131218"
"201","CN201130391214.3","20141217"
"202","CN201130391215.8","20131218"
"203","CN201130391216.2","20141217"
"204","CN201130391218.1","20141217"
"205","CN201230609872.X","20150121"
"206","CN201230609839.7","20150121"
"207","CN201230609973.7","20150121"
"208","CN201230632012.8","20150204"
"209","CN201230632026.X","20150204"
"210","CN201230631429.2","20150204"
"211","CN201230631455.5","20150204"
"212","CN201230632133.2","20150204"
"213","CN201230632129.6","20150204"
"214","CN201230631821.7","20150204"
