"","SQH","SXRQ"
"1","CN201130481624.7","20140212"
"2","CN201130481669.4","20140212"
"3","CN201130483718.8","20140212"
"4","CN201130483719.2","20140212"
"5","CN201130483720.5","20140212"
"6","CN201130483609.6","20140212"
"7","CN201130480967.1","20140212"
"8","CN201130483582.0","20140212"
"9","CN201130483583.5","20140212"
"10","CN201130483601.X","20140212"
"11","CN201130483611.3","20140212"
"12","CN201130483616.6","20140212"
"13","CN201130483576.5","20140212"
"14","CN201130483579.9","20140212"
"15","CN201130483580.1","20140212"
"16","CN201130483594.3","20140212"
"17","CN201130483614.7","20140212"
"18","CN201130483697.X","20140212"
"19","CN201130483705.0","20140212"
"20","CN201230079948.2","20140521"
"21","CN201230079951.4","20140521"
"22","CN201230079954.8","20140521"
"23","CN201230079956.7","20140521"
"24","CN201230079957.1","20140521"
"25","CN201230079969.4","20140521"
"26","CN201230080254.0","20140521"
"27","CN201230080287.5","20140521"
"28","CN201230079483.0","20140521"
"29","CN201230079491.5","20140521"
"30","CN201230079493.4","20140521"
"31","CN201230079939.3","20140521"
"32","CN201230079942.5","20140521"
"33","CN201230079943.X","20140521"
"34","CN201230092592.6","20140521"
"35","CN201230110164.1","20140604"
"36","CN201230110167.5","20140604"
"37","CN201230090107.1","20140521"
"38","CN201230090117.5","20140521"
"39","CN201230090118.X","20140521"
"40","CN201230092558.9","20140521"
"41","CN201230092559.3","20140521"
"42","CN201230109275.0","20140604"
"43","CN201230078249.6","20140521"
"44","CN201230078251.3","20140521"
"45","CN201230077895.0","20140521"
"46","CN201230078174.1","20140521"
"47","CN201230078176.0","20140521"
"48","CN201230077914.X","20140521"
"49","CN201230077839.7","20140521"
"50","CN201230077848.6","20140521"
"51","CN201230077898.4","20140521"
"52","CN201230077462.5","20140521"
"53","CN201230077510.0","20140521"
"54","CN201230077512.X","20140521"
"55","CN201230077837.8","20140521"
"56","CN201230077907.X","20140521"
"57","CN201230077909.9","20140521"
"58","CN201230077911.6","20140521"
"59","CN201230077921.X","20140521"
"60","CN201230078173.7","20140521"
"61","CN201230078177.5","20140521"
"62","CN201230078179.4","20140521"
"63","CN201230079448.9","20140521"
"64","CN201230079449.3","20140521"
"65","CN201230079455.9","20140521"
"66","CN201230079456.3","20140521"
"67","CN201230079457.8","20140521"
"68","CN201230079460.X","20140521"
"69","CN201230079461.4","20140521"
"70","CN201230079462.9","20140521"
"71","CN201230079463.3","20140521"
"72","CN201230079465.2","20140521"
"73","CN201230079467.1","20140521"
"74","CN201230079472.2","20140521"
"75","CN201320153761.1","20150318"
"76","CN201220301699.1","20140430"
"77","CN201220423309.8","20141217"
"78","CN201220426604.9","20140702"
"79","CN201320216463.2","20140910"
"80","CN201120287253.3","20130306"
"81","CN201120532417.4","20130911"
"82","CN201320153761.1","20150318"
"83","CN201220301699.1","20140430"
"84","CN201220423309.8","20141217"
"85","CN201220426604.9","20140702"
"86","CN201320216463.2","20140910"
"87","CN201120287253.3","20130306"
"88","CN201120532417.4","20130911"
"89","CN201120255171.0","20130227"
"90","CN201120255199.4","20130320"
"91","CN201120255211.1","20130227"
"92","CN201320816537.6","20151209"
"93","CN201320452377.1","20150722"
"94","CN201320818247.5","20151021"
"95","CN201420591755.9","20160608"
"96","CN201420592885.4","20160706"
"97","CN201420665445.7","20160824"
"98","CN201420592853.4","20160824"
"99","CN201420594719.8","20160824"
"100","CN201120507163.0","20130501"
"101","CN201120454217.1","20130710"
"102","CN201220047089.3","20140226"
"103","CN201220119804.X","20141210"
"104","CN201220127211.8","20140611"
"105","CN201320262162.3","20150617"
"106","CN201220196193.9","20160622"
"107","CN201120135153.9","20160622"
"108","CN201220047089.3","20140226"
"109","CN201220119804.X","20141210"
"110","CN201220127211.8","20140611"
"111","CN201320262162.3","20150617"
"112","CN201220196193.9","20160622"
"113","CN201120135153.9","20160622"
"114","CN201230089152.5","20140521"
"115","CN201120043066.0","20130821"
"116","CN201320554926.6","20150909"
"117","CN201320554863.4","20150930"
"118","CN201220112711.4","20140409"
"119","CN201220449764.5","20141015"
"120","CN201320391777.6","20150121"
"121","CN201320364004.9","20150610"
"122","CN201220733240.9","20141022"
"123","CN201120188420.9","20130904"
"124","CN201420238197.8","20160210"
"125","CN201420395939.8","20160406"
"126","CN201420396888.0","20160323"
"127","CN201420397271.0","20160323"
"128","CN201420397173.7","20160824"
"129","CN201030689229.3","20140219"
"130","CN201220745120.0","20150610"
"131","CN201320610232.X","20150916"
"132","CN201320609864.4","20150916"
"133","CN201220744975.1","20160113"
"134","CN201420236151.2","20160309"
"135","CN201320643171.7","20160427"
"136","CN201020276207.9","20130918"
"137","CN201020692332.8","20140226"
"138","CN201020692404.9","20140226"
"139","CN201020692923.5","20140226"
"140","CN201020210438.X","20130724"
"141","CN201320433315.6","20150527"
"142","CN201420179797.1","20160203"
"143","CN201320712149.3","20160120"
"144","CN201420254109.3","20160302"
"145","CN201420310831.4","20160406"
"146","CN201220142095.7","20131204"
"147","CN201220315354.1","20140709"
"148","CN201220315355.6","20140611"
"149","CN201220315362.6","20141001"
"150","CN201220315363.0","20140723"
"151","CN201220315364.5","20140521"
"152","CN201220315353.7","20140611"
"153","CN201120051737.8","20130306"
"154","CN201120230498.2","20130710"
"155","CN201120343842.9","20130508"
"156","CN201120343843.3","20130227"
"157","CN201120399240.5","20130403"
"158","CN201120399249.6","20130515"
"159","CN201120399271.0","20130703"
"160","CN201120445638.8","20130703"
"161","CN201120211815.6","20160525"
"162","CN201120212552.0","20160525"
"163","CN201120211684.1","20160525"
"164","CN201120211742.0","20160601"
"165","CN201120212564.3","20160727"
"166","CN201130385786.0","20151216"
"167","CN201130332701.2","20161109"
"168","CN201220374529.6","20140416"
"169","CN201220374553.X","20140702"
"170","CN201220373254.4","20140416"
"171","CN201220147239.8","20150812"
"172","CN201120167915.3","20130306"
"173","CN201120522242.9","20140416"
