"","SQH","SXRQ"
"1","CN201130296758.1","20141022"
"2","CN201130296772.1","20141022"
"3","CN201130296773.6","20151028"
"4","CN201130296774.0","20141022"
"5","CN201130017200.5","20160323"
"6","CN201130017225.5","20160323"
"7","CN201130017257.5","20160323"
"8","CN201130078708.6","20140604"
"9","CN201230347456.7","20150916"
"10","CN201230574381.6","20160120"
"11","CN201230574295.5","20160120"
"12","CN201230574120.4","20160120"
"13","CN201330420543.5","20151028"
"14","CN201330221682.5","20150722"
"15","CN201330222275.6","20150722"
"16","CN201330222156.0","20150722"
"17","CN201030138224.1","20140604"
"18","CN201030119489.7","20140507"
"19","CN201030119418.7","20140507"
"20","CN201030702262.5","20160302"
"21","CN201030619926.1","20160113"
"22","CN201030563483.9","20151209"
"23","CN201130017279.1","20160323"
"24","CN201130017244.8","20160323"
"25","CN201130030429.2","20160413"
"26","CN201130030448.5","20160413"
"27","CN201130030467.8","20160413"
"28","CN201130030493.0","20160413"
"29","CN201130030526.1","20160413"
"30","CN201130030529.5","20160413"
"31","CN201130030552.4","20160413"
"32","CN201130030593.3","20160413"
"33","CN201130296361.2","20141022"
"34","CN201130063232.9","20160518"
"35","CN201230086110.6","20160518"
"36","CN201130134985.4","20160720"
"37","CN201330222090.5","20160720"
"38","CN201330222320.8","20160720"
"39","CN201330222321.2","20160720"
"40","CN201330222027.1","20160720"
"41","CN201330292546.5","20160817"
"42","CN201120056869.X","20141001"
"43","CN201110025325.1","20140319"
"44","CN201320652809.3","20150729"
"45","CN201420039016.9","20151230"
"46","CN201320300608.7","20150722"
"47","CN201320300654.7","20150722"
"48","CN201320749040.7","20160113"
"49","CN201320885389.3","20160224"
"50","CN201420047560.8","20160323"
"51","CN201420047435.7","20160323"
"52","CN201120320628.1","20131016"
"53","CN201220080954.4","20140430"
"54","CN201420047503.X","20160323"
"55","CN201420047516.7","20160323"
"56","CN201420047519.0","20160323"
"57","CN201420047520.3","20160323"
"58","CN201420047527.5","20160323"
"59","CN201420047502.5","20160323"
"60","CN201320157546.9","20160518"
"61","CN201320157549.2","20160518"
"62","CN201420352902.7","20160810"
"63","CN201420353163.3","20160810"
"64","CN201420353198.7","20160810"
"65","CN201420353245.8","20160810"
"66","CN201420193728.6","20160824"
"67","CN201420543292.9","20161109"
"68","CN201420590783.9","20161116"
"69","CN201420581867.6","20161130"
"70","CN201420581896.2","20161130"
"71","CN201420581701.4","20161130"
"72","CN201420581707.1","20161130"
"73","CN201420581708.6","20161130"
"74","CN201420581714.1","20161130"
"75","CN201420581727.9","20161130"
"76","CN201420581741.9","20161130"
"77","CN201420581827.1","20161130"
"78","CN201420581844.5","20161130"
"79","CN201420581868.0","20161130"
"80","CN201420581708.6","20161130"
"81","CN201420581714.1","20161130"
"82","CN201420581727.9","20161130"
"83","CN201420581741.9","20161130"
"84","CN201420581827.1","20161130"
"85","CN201420581844.5","20161130"
"86","CN201420581868.0","20161130"
"87","CN201110229942.3","20151014"
"88","CN201210088977.4","20160518"
"89","CN201210198180.X","20160803"
"90","CN201320137398.4","20141029"
"91","CN201320137310.9","20141203"
"92","CN201220311418.0","20140514"
"93","CN201220311419.5","20140326"
"94","CN201220311424.6","20140326"
"95","CN201220311453.2","20140326"
"96","CN201220311221.7","20140326"
"97","CN201420063880.2","20151202"
"98","CN201320429904.7","20160106"
"99","CN201320371351.4","20150930"
"100","CN201320371309.2","20150930"
"101","CN201420063877.0","20151028"
"102","CN201320370968.4","20151028"
"103","CN201320370972.0","20151028"
"104","CN201320371091.0","20151028"
"105","CN201320371155.7","20151028"
"106","CN201320371187.7","20151028"
"107","CN201320371371.1","20151028"
"108","CN201120573999.0","20160210"
"109","CN201120574019.9","20160210"
"110","CN201120578655.9","20160224"
"111","CN201320736386.3","20160113"
"112","CN201320736447.6","20160113"
"113","CN201320746491.5","20160113"
"114","CN201320745338.0","20160113"
"115","CN201320737009.1","20160113"
"116","CN201420088876.1","20160323"
"117","CN201020272799.7","20150902"
"118","CN201020560459.4","20151202"
"119","CN201020560460.7","20151202"
"120","CN201020560491.2","20151202"
"121","CN201020289860.9","20151007"
"122","CN201020289898.6","20151007"
"123","CN201220570651.0","20141217"
"124","CN201420135859.9","20160511"
"125","CN201420135955.3","20160511"
"126","CN201320138843.9","20160511"
"127","CN201320121593.8","20160511"
"128","CN201120093851.7","20160518"
"129","CN201320172054.7","20160601"
"130","CN201320172062.1","20160601"
"131","CN201420248264.4","20160615"
"132","CN201420247789.6","20160615"
"133","CN201420195865.3","20160615"
"134","CN201420247786.2","20160622"
"135","CN201420198885.6","20160615"
"136","CN201420248087.X","20160629"
"137","CN201420252573.9","20160706"
"138","CN201420247767.X","20160706"
"139","CN201420543004.X","20160706"
"140","CN201420560988.2","20160713"
"141","CN201420248285.6","20160713"
"142","CN201420266641.7","20160720"
"143","CN201420311259.3","20160803"
"144","CN201320354583.9","20160810"
"145","CN201220304508.7","20160817"
"146","CN201420248281.8","20160817"
"147","CN201420248284.1","20160824"
"148","CN201420524704.4","20160824"
"149","CN201420248282.2","20160824"
"150","CN201320377847.2","20160817"
"151","CN201420781029.3","20160907"
"152","CN201420561121.9","20160907"
"153","CN201420650417.8","20160907"
"154","CN201220352566.7","20160907"
"155","CN201120260817.4","20160907"
"156","CN201320815629.2","20160907"
"157","CN201420482248.1","20161012"
"158","CN201120318808.6","20161026"
"159","CN201120318804.8","20161026"
"160","CN201020517214.3","20161026"
"161","CN201020517199.2","20161026"
"162","CN201420482248.1","20161012"
"163","CN201120318808.6","20161026"
"164","CN201120318804.8","20161026"
"165","CN201020517214.3","20161026"
"166","CN201020517199.2","20161026"
"167","CN201220219647.X","20150318"
"168","CN201220306808.9","20150311"
"169","CN201220275779.4","20150401"
"170","CN201220284012.8","20150311"
"171","CN201320635360.X","20151202"
"172","CN201120378524.6","20161116"
"173","CN201120378531.6","20161116"
"174","CN201120377980.9","20161116"
"175","CN201120377989.X","20161116"
"176","CN201120378003.0","20161116"
"177","CN201120378018.7","20161116"
"178","CN201120377873.6","20161116"
"179","CN201120377918.X","20161116"
"180","CN201120377943.8","20161116"
"181","CN201120377957.X","20161116"
"182","CN201120377960.1","20161116"
"183","CN201120378029.5","20161116"
"184","CN201120378038.4","20161116"
"185","CN201120378056.2","20161116"
"186","CN201120378018.7","20161116"
"187","CN201120377873.6","20161116"
"188","CN201120377918.X","20161116"
"189","CN201120377943.8","20161116"
"190","CN201120377957.X","20161116"
"191","CN201120377960.1","20161116"
"192","CN201120378029.5","20161116"
"193","CN201120378038.4","20161116"
"194","CN201120378056.2","20161116"
"195","CN201120334298.1","20141029"
"196","CN201120331855.4","20151028"
"197","CN201210507634.7","20160120"
"198","CN201110279153.0","20151104"
"199","CN201110175451.5","20150812"
"200","CN201110434758.2","20150211"
"201","CN201210457672.6","20160106"
"202","CN201210156285.9","20160706"
"203","CN201010230171.5","20160831"
"204","CN201110200282.6","20160907"
"205","CN201110219760.8","20160928"
"206","CN201330021615.9","20150325"
"207","CN201230118265.3","20160615"
"208","CN201230118266.8","20160615"
"209","CN201220329281.1","20140903"
"210","CN201020263714.9","20120808"
"211","CN201020605066.0","20120627"
"212","CN201120027082.0","20130306"
"213","CN201120271102.9","20141119"
"214","CN201320493838.X","20150916"
"215","CN201220654083.2","20141022"
"216","CN201220601142.X","20140528"
"217","CN201220166307.5","20140702"
"218","CN201120252456.9","20150204"
"219","CN201120252506.3","20150603"
"220","CN201120352206.2","20140604"
"221","CN201020238577.3","20130227"
"222","CN201020247075.7","20120502"
"223","CN201020247111.X","20111228"
"224","CN201020537935.0","20111221"
"225","CN201320137007.9","20150318"
"226","CN201420125026.4","20160127"
"227","CN201120138028.3","20160217"
"228","CN201120405060.3","20131204"
"229","CN201120405061.8","20131211"
"230","CN201120362454.5","20151209"
"231","CN201120425595.7","20151223"
"232","CN201120428086.X","20141217"
"233","CN201120506432.1","20160127"
"234","CN201120497683.8","20160120"
"235","CN201120009006.7","20140312"
