"","SQH","SXRQ"
"1","CN201320106100.3","20150422"
"2","CN201020631156.7","20160113"
"3","CN201120120957.1","20160615"
"4","CN201120118789.2","20160615"
"5","CN201220261231.4","20140416"
"6","CN201220228750.0","20140115"
"7","CN201220606049.8","20150408"
"8","CN201320457313.0","20150527"
"9","CN201220610526.8","20151014"
"10","CN201120441923.2","20151223"
"11","CN201120441924.7","20151223"
"12","CN201120441925.1","20151223"
"13","CN201120448764.9","20160106"
"14","CN201120441944.4","20151223"
"15","CN201120441939.3","20151223"
"16","CN201120441940.6","20151223"
"17","CN201120441941.0","20151223"
"18","CN201120441982.X","20151223"
"19","CN201120441984.9","20151223"
"20","CN201120441993.8","20151223"
"21","CN201120441994.2","20151223"
"22","CN201220012141.1","20150311"
"23","CN201220012142.6","20160302"
"24","CN201220605949.0","20160106"
"25","CN201220605950.3","20160106"
"26","CN201220605982.3","20160106"
"27","CN201220606096.2","20160106"
"28","CN201220606097.7","20160106"
"29","CN201220606098.1","20160106"
"30","CN201220606100.5","20160106"
"31","CN201220606050.0","20160106"
"32","CN201220608561.6","20160106"
"33","CN201220608597.4","20160106"
"34","CN201220603848.X","20160106"
"35","CN201220603850.7","20160106"
"36","CN201220603897.3","20160106"
"37","CN201220610333.2","20160106"
"38","CN201320003129.9","20160224"
"39","CN201220747323.3","20160224"
"40","CN200920290214.1","20160210"
"41","CN201020650289.9","20150204"
"42","CN201220380880.6","20150916"
"43","CN201220203914.4","20150624"
"44","CN201220228718.2","20150708"
"45","CN201220228748.3","20150708"
"46","CN201220228729.0","20150708"
"47","CN201220228735.6","20150708"
"48","CN201220228740.7","20150708"
"49","CN201220605790.2","20160106"
"50","CN201220605841.1","20160106"
"51","CN201120071135.9","20160511"
"52","CN201220156464.8","20160601"
"53","CN201220170603.2","20160615"
"54","CN201220228659.9","20160706"
"55","CN201220269874.3","20160803"
"56","CN201220377331.3","20160921"
"57","CN201220377341.7","20160921"
"58","CN201220377368.6","20160921"
"59","CN201220357004.1","20160907"
"60","CN201220357089.3","20160907"
"61","CN201220357148.7","20160907"
"62","CN201220357494.5","20160907"
"63","CN201220357495.X","20160907"
"64","CN201220357526.1","20160907"
"65","CN201220362500.6","20160907"
"66","CN201220362473.2","20160907"
"67","CN201220362545.3","20160907"
"68","CN201220356887.4","20160907"
"69","CN201220377553.5","20160928"
"70","CN201220378970.1","20160928"
"71","CN201220378394.0","20160928"
"72","CN201220378392.1","20160928"
"73","CN201220378337.2","20160928"
"74","CN201220410662.2","20161012"
"75","CN201220448457.5","20161026"
"76","CN201220472172.5","20161109"
"77","CN201120304856.X","20140205"
"78","CN201420082591.7","20150715"
"79","CN201020662036.3","20130327"
"80","CN201020661939.X","20130515"
"81","CN201120121052.6","20130306"
"82","CN201120123520.3","20130306"
"83","CN201120294745.5","20130313"
"84","CN201120447282.1","20140604"
"85","CN201120447011.6","20151209"
"86","CN201320350082.3","20151209"
"87","CN201320350069.8","20151028"
"88","CN201320350988.5","20151028"
"89","CN201320867669.1","20160420"
"90","CN201320868024.X","20160420"
"91","CN201020661882.3","20150204"
"92","CN201420421730.4","20160511"
"93","CN201420577386.8","20160706"
"94","CN201420367048.1","20160817"
"95","CN201320868013.1","20160817"
"96","CN201420377883.3","20160914"
"97","CN201320867669.1","20160420"
"98","CN201320868024.X","20160420"
"99","CN201020661882.3","20150204"
